ID;LABEL;DICE
212318;WhiteMatter;0.810263778013
212318;GreyMatter;0.714321182223
212318;Ventricles;0.701415018121
201111;WhiteMatter;0.821441905422
201111;GreyMatter;0.733654562851
201111;Ventricles;0.681510117198
212318-PP;WhiteMatter;0.797428583684
212318-PP;GreyMatter;0.738201522765
212318-PP;Ventricles;0.725093489309
201111-PP;WhiteMatter;0.809830465111
201111-PP;GreyMatter;0.760581832933
201111-PP;Ventricles;0.704638752053
190031;WhiteMatter;0.803780650445
190031;GreyMatter;0.733781596772
190031;Ventricles;0.712051815869
857263;WhiteMatter;0.801279068044
857263;GreyMatter;0.735750131076
857263;Ventricles;0.735728715074
190031-PP;WhiteMatter;0.787135973681
190031-PP;GreyMatter;0.759024545143
190031-PP;Ventricles;0.732805696553
857263-PP;WhiteMatter;0.785278168777
857263-PP;GreyMatter;0.758352804894
857263-PP;Ventricles;0.765622772418
211720;WhiteMatter;0.796133206608
211720;GreyMatter;0.670646636853
211720;Ventricles;0.710257263779
856766;WhiteMatter;0.806872459495
856766;GreyMatter;0.74448868279
856766;Ventricles;0.761770203886
211720-PP;WhiteMatter;0.781600738504
211720-PP;GreyMatter;0.694192589459
211720-PP;Ventricles;0.747944443039
856766-PP;WhiteMatter;0.793541228393
856766-PP;GreyMatter;0.770095384703
856766-PP;Ventricles;0.79330993186
198451;WhiteMatter;0.794994714721
198451;GreyMatter;0.735399979421
198451;Ventricles;0.725961424403
188347;WhiteMatter;0.815264237746
188347;GreyMatter;0.767997298391
188347;Ventricles;0.723103083781
198451-PP;WhiteMatter;0.775145965407
198451-PP;GreyMatter;0.754112914007
198451-PP;Ventricles;0.7512574075
188347-PP;WhiteMatter;0.798397837385
188347-PP;GreyMatter;0.789188099641
188347-PP;Ventricles;0.751662971175
298051;WhiteMatter;0.812527251309
298051;GreyMatter;0.72644143924
298051;Ventricles;0.767034233048
192540;WhiteMatter;0.800698501611
192540;GreyMatter;0.744546805688
192540;Ventricles;0.585126484108
298051-PP;WhiteMatter;0.794898729656
298051-PP;GreyMatter;0.748239486565
298051-PP;Ventricles;0.790840944339
192540-PP;WhiteMatter;0.781062843145
192540-PP;GreyMatter;0.766341167175
192540-PP;Ventricles;0.608446329371
899885;WhiteMatter;0.807410929869
899885;GreyMatter;0.7320332206
899885;Ventricles;0.781900342459
245333;WhiteMatter;0.811264771283
245333;GreyMatter;0.747659338355
245333;Ventricles;0.741859802223
899885-PP;WhiteMatter;0.792718888646
899885-PP;GreyMatter;0.758549677865
899885-PP;Ventricles;0.808218601322
245333-PP;WhiteMatter;0.799346940316
245333-PP;GreyMatter;0.776186004439
245333-PP;Ventricles;0.767148963405
211417;WhiteMatter;0.803481094254
211417;GreyMatter;0.728966428447
211417;Ventricles;0.667696402262
397760;WhiteMatter;0.792779279809
397760;GreyMatter;0.703274993223
397760;Ventricles;0.797097926289
211417-PP;WhiteMatter;0.786111126235
211417-PP;GreyMatter;0.7532496797
211417-PP;Ventricles;0.692678059124
397760-PP;WhiteMatter;0.778110246161
397760-PP;GreyMatter;0.72785241559
397760-PP;Ventricles;0.823165186432
214423;WhiteMatter;0.800193915889
214423;GreyMatter;0.750150108624
214423;Ventricles;0.53118604261
366446;WhiteMatter;0.809901528851
366446;GreyMatter;0.738788154695
366446;Ventricles;0.664532520325
214423-PP;WhiteMatter;0.785425343886
214423-PP;GreyMatter;0.771890417637
214423-PP;Ventricles;0.571175231832
366446-PP;WhiteMatter;0.794712198887
366446-PP;GreyMatter;0.761955772795
366446-PP;Ventricles;0.692473814923
414229;WhiteMatter;0.792846191128
414229;GreyMatter;0.673090403105
414229;Ventricles;0.692898366429
199655;WhiteMatter;0.795772965058
199655;GreyMatter;0.729444995003
199655;Ventricles;0.647599978354
414229-PP;WhiteMatter;0.774281508351
414229-PP;GreyMatter;0.695518298518
414229-PP;Ventricles;0.721134020619
199655-PP;WhiteMatter;0.779373502956
199655-PP;GreyMatter;0.750521473058
199655-PP;Ventricles;0.676785157026
280739;WhiteMatter;0.816246019547
280739;GreyMatter;0.725559065066
280739;Ventricles;0.715117891817
672756;WhiteMatter;0.812502930008
672756;GreyMatter;0.740070802589
672756;Ventricles;0.670314569123
280739-PP;WhiteMatter;0.800860609481
280739-PP;GreyMatter;0.750894498
280739-PP;Ventricles;0.739902676399
672756-PP;WhiteMatter;0.794685175175
672756-PP;GreyMatter;0.761611078387
672756-PP;Ventricles;0.700596737833
756055;WhiteMatter;0.807792736376
756055;GreyMatter;0.76361584307
756055;Ventricles;0.541009086561
196750;WhiteMatter;0.792880573769
196750;GreyMatter;0.731868521694
196750;Ventricles;0.724525890595
756055-PP;WhiteMatter;0.793018565887
756055-PP;GreyMatter;0.784497748785
756055-PP;Ventricles;0.568170899657
196750-PP;WhiteMatter;0.781305645445
196750-PP;GreyMatter;0.759657560388
196750-PP;Ventricles;0.7526722657
654754;WhiteMatter;0.816824872022
654754;GreyMatter;0.740306267595
654754;Ventricles;0.722442505948
751348;WhiteMatter;0.790523080313
751348;GreyMatter;0.727544447199
751348;Ventricles;0.787870194061
654754-PP;WhiteMatter;0.801302685595
654754-PP;GreyMatter;0.765379575162
654754-PP;Ventricles;0.744851994852
751348-PP;WhiteMatter;0.774540425296
751348-PP;GreyMatter;0.750727262587
751348-PP;Ventricles;0.812326942994
189450;WhiteMatter;0.793533477492
189450;GreyMatter;0.748063547753
189450;Ventricles;0.55880123608
499566;WhiteMatter;0.807718862674
499566;GreyMatter;0.73934945105
499566;Ventricles;0.684390866118
189450-PP;WhiteMatter;0.776769791064
189450-PP;GreyMatter;0.768370307163
189450-PP;Ventricles;0.585568167644
499566-PP;WhiteMatter;0.794262607646
499566-PP;GreyMatter;0.767103412634
499566-PP;Ventricles;0.710487174804
221319;WhiteMatter;0.815589758139
221319;GreyMatter;0.757253375829
221319;Ventricles;0.625905155986
239944;WhiteMatter;0.80434687383
239944;GreyMatter;0.729553341489
239944;Ventricles;0.767740594471
221319-PP;WhiteMatter;0.803796285859
221319-PP;GreyMatter;0.783333896537
221319-PP;Ventricles;0.648718538099
239944-PP;WhiteMatter;0.790779994072
239944-PP;GreyMatter;0.757443330896
239944-PP;Ventricles;0.794244542238
208226;WhiteMatter;0.813051685582
208226;GreyMatter;0.735177684819
208226;Ventricles;0.684575559246
792564;WhiteMatter;0.800256904303
792564;GreyMatter;0.737760616634
792564;Ventricles;0.728760608039
208226-PP;WhiteMatter;0.800188903095
208226-PP;GreyMatter;0.761419885406
208226-PP;Ventricles;0.71098265896
792564-PP;WhiteMatter;0.781958706319
792564-PP;GreyMatter;0.759707239151
792564-PP;Ventricles;0.758194611292
